Ciudad,Clima y Terreno,Alojamiento,Cuidado de la salud y el medio ambiente,Crimen,Transporte,Educación,Artes,Recreación,Economía,Indice_atractivo_z,Ranking
"San-Angelo,TX",488,6321,236,1032,2938,2707,1301,1136,7720,-0.8604219918981324,286
"Yakima,WA",535,6440,317,1106,3731,2491,996,2140,4986,-0.8950764350604145,287
"Victoria,TX",336,7143,260,1092,2407,2696,87,1410,7599,-0.9094885346758735,288
"Kokomo,IN",512,6616,596,413,1817,2904,285,1000,3429,-0.9321474796364079,289
"Montgomery,AL",483,6754,832,815,3509,2388,1374,1112,4892,-0.9342061654000964,290
"Fayettteville-Sprindale,AR",549,6686,594,545,3581,2334,1915,1695,4631,-0.9355838751161735,291
"Biloxi-Gulfport,MS",584,6458,441,810,2516,2592,679,2106,5801,-0.9359097256770059,292
"New-Bedsford,MA",643,8087,519,1012,3219,2439,766,1450,4937,-0.9428497800940215,293
"Athens,GA",601,6691,605,933,1866,2646,3546,1001,5193,-0.9456726992054568,294
"Stockton,CA",625,8474,342,1395,4427,2155,1579,1630,5672,-0.9530914412074567,295
"Monroe,LA",455,6190,331,957,3606,2453,1528,1541,5537,-0.9720829839080581,296
"Anderson,SC",591,5725,820,975,2707,2772,169,613,4262,-0.988825289363314,297
"Lake-Charles,LA",469,6921,314,1093,3549,2336,1456,1855,5872,-0.9949683215090439,298
"Texarkana,TX-Texarkana,AR",467,5717,343,822,2537,2899,63,669,4772,-0.9978044199485588,299
"Bremerton,WA",808,9060,310,651,1670,2544,382,1973,5671,-0.9978451104000587,300
"Glens-Falls,NY",476,7120,43,568,2241,2674,603,1883,5166,-0.9998133306341536,301
"Clarksville-Hopkinsville,TN-KY",544,6007,446,736,2226,2654,111,2219,4880,-1.0052528250130441,302
"Chattanooga,TN-GA",576,6189,564,946,3401,2415,2483,1238,4487,-1.0099616637784166,303
"Joplin,MO",580,5159,500,628,2335,2871,80,801,5324,-1.010421121121551,304
"Albany,GA",468,7339,618,970,2531,2560,237,859,5250,-1.0500005603726366,305
"Owensboro,KY",524,6760,812,568,2273,2491,804,852,6062,-1.0535113605815123,306
"Jacksonville,NC",564,6111,740,967,1780,2646,567,1177,6386,-1.0624240307007722,307
"Benton-Harbor,MI",566,6761,570,1190,2989,2545,79,1477,3635,-1.068692989283994,308
"Panama-City,FL",536,6373,201,1344,2778,2500,755,2089,6083,-1.0787083308294891,309
"Modesto,CA",639,8630,347,1154,2000,2616,631,833,5107,-1.0833647212444446,310
"Odessa,TX",603,6689,384,1698,1944,2721,259,900,7565,-1.09826090231368,311
"Brownsville-Harlington,TX",440,5376,91,974,3119,2413,162,3000,4968,-1.131124046581949,312
"McAllen-Edinburg-Mission,TX",238,5345,372,836,2117,2644,1231,1059,5739,-1.1381376749011511,313
"Steubenville-Weirton,OH-WV",542,6578,505,418,1532,2672,147,1460,3744,-1.1555952997822907,314
"Visalia-Tulare-Porterville,CA",543,7778,210,1132,3094,2128,511,2800,5563,-1.1703161200413312,315
"Burlington,NC",637,6179,994,707,1910,2519,131,701,5680,-1.1761100516649334,316
"Huntsville,AL",600,6283,685,924,2661,2257,1921,1075,6412,-1.2072610667715722,317
"Lawton,OK",479,5850,477,1156,2366,2375,1280,1757,6105,-1.2100997258484572,318
"Sherman-Denison,TX",524,5722,394,1035,1922,2652,68,937,6213,-1.2355037365743122,319
"Anderson,IN",530,5704,580,878,2865,2469,430,838,3370,-1.284640952943296,320
"Yuba-City,CA",608,7875,212,1179,2768,2387,122,918,4694,-1.296801668282224,321
"Pine-Bluff,AR",463,5674,617,1169,1671,2554,373,793,4247,-1.3853950784117672,322
"Richland-Kinnewick-Pasco,WA",664,8461,300,779,4714,1728,529,1204,5326,-1.3865489142395668,323
"Florence,AL",546,5962,607,516,1454,2427,1021,994,4492,-1.3984689909221295,324
"Houma-Thibodaux,LA",427,7094,583,400,1145,1995,725,2700,6662,-1.4381643787025216,325
"Anniston,AL",560,5530,598,1125,3051,2189,268,1165,4730,-1.4501508230906224,326
"Dothgan,AL",336,5708,593,930,2232,2230,117,714,5453,-1.5338219328078313,327
"Gadsden,AL",526,5382,622,749,2174,2299,153,300,4220,-1.605469531801174,328
"Pascagoula,MS",584,6248,593,591,1750,1701,155,1956,4491,-1.9158579151554456,329
